family	regions_to_create	case_key_sha256	full_record_sha256
empty_extend	1	defda99fb645966594b8533a3f5adac34b8eb839e6e4820763625f32eb662be1	a55b7b0dc96e4976c4d572ddd4df9dc70b636e8139eba007963df68e9ae40c92
empty_extend	2	5c6f82c8fcc24cab2d6ad6081c26f191c07c8c4e7975393e1d24039726844ee0	4addc4d266616037f235b53e821629ffbf568d9972a6467490c7c0d7de6e6c02
empty_extend	3	83f2c5db7e64a2a8818eef1ac229c5373f7f906c44965f24935f0a91abd8f612	f797c74600ee1fad65c47c5cef5f6a373811507e6d40629ef1d56096c327f55b
empty_extend	4	6ab675836a8a7cfc4c2209dc0f4604dbd017f7a67967f15fd8498f232969f443	0d925670e1ba6ebc3d223f01eacbe1055d15c18f3f58a5949e310f77d3610bf0
empty_extend	5	0617142c5d42f2a46eabf9549915626ec400db52afa64fa5c0d6e767b39dc72a	79a9cea24de683383349aaf93e6c2d2a22b5bbc51827398742cd3454d0f3d0dc
empty_extend	6	c4197e5c81187531ef2cb0d528bfb359099ad61416533d7276353fb571674509	b369cc064b4f2cf00ac3071f71b132b3353dc5166cbc165b6ba5f97ee36bf40b
empty_extend	7	4e539b52b28fba590cff31b1fac46657c3f368e4ffe3a6fe499fe48e1dfbf969	35bfe9c3b51ca24151f26fde6a020e2a7908092a1bb58172eca173cb4ae8ce60
empty_extend	8	46762d63b780b1c4e501ef73e6790ddffaca2cf75974e8539c0b2939f5bf875e	1de24f82e1edd874ccb29c11915d43924d87d6787a612de217b7339acfdff11a
empty_extend	9	dc44b737cad705e1c0fe57dd31a6f4b2c6ad06a2ab67c593ae9524b78dc1b17b	6ce53d16d53d768e98b3f46fea2a146950f7ee977328ea6c46565677fc1b94a0
empty_extend	10	9388ff3275d25992ebb3f30dd63644d70aa5b77dc2b280632cd4ec8a07b6fbab	6e0148b9f0b3f3102d94f9b4be59a97e1aca355cac04928f067055aabc7163bd
empty_extend	11	deba362ef69e7c94eb4b8594e971cc4aa08962706e1ef615350f9bb22629e95a	2c0b8f07597c559b9b5f1643dece94691c13d4037793b1a4df8ebab44f6a473d
empty_extend	12	f7f174f8910f29b7161c047e47e17ab8d1ff46954666fbc0984b13758bda86f1	6b50e05d174e8198190aa9db4c43da5913353624c806da10f710b7a05d09b37c
empty_extend	13	4718bb52add7cc72cff8a855aa2fc209caa8276596c17a6108cd45290dc276e7	12274dbbaa5f40caecd6436b0b529ed81bdc1fa7d21f3df589ab4c96cc639f80
empty_extend	14	03cba748b05963aa84bc2f4018d567abd8c4217d028b3446ff896098eeffa6ef	70ffc2af9b649071c371e1a270bc57aa5027801991f0e8603d5f58192bf6af0b
empty_extend	15	87850050ec2a1d6389b1c567a80497be5ded9760e834d544d0f7308b2e04b656	564b204afe2c254af093458bed1c74ef0b9de63bc9a9e12fb141861e41ff7b05
empty_extend	16	ac59ad48c3fa47279af7e954bf85e1da1c03edbb9d623799cfae9aad9b80f70b	f501d86f783116a43cc539e71c5c03ac1319d151ea8458905a0010c4aec32b1c
empty_extend	17	8b8c42e793dc4684f95d6904ace0e3313529a351139aeb74eb6aca7674648ab2	e6c6f627645df9e1a415d81afaf821358d42502d6c2bcf1caac68bdd1a838527
empty_extend	18	684467b4a17fa1a978cbb2acf7b48357bad5742d744f9089054ce3dce950b602	20b33e8fd514d0a81434daa9c1d1f312338ff773a0445883a63cffe1da1425c3
empty_extend	19	e7f5da94df936d95b446d3ee823fcb68513cd48e75c3fac46aff6f6e58b61e5c	b1796f52d4b7223e772256d6ce7283d41e8c52fd4c466ed98c69adcde7578179
empty_extend	20	de13f33634f1d78cfe968083e5b8c8b625c35094391b2521097c7a5a8586fb70	f6e6e8d6d2c3a2e570a41526f4102539a8c67d76dd1e7d7f263f43ead021d0c6
empty_extend	21	e554e6ee86d7193b24758440f5c51cda6e71a58c3f6316b3458a9f9d1adc3379	213963e25f4796006489b1031765fd30b83275ba71f93cb5ba35465af9964912
empty_extend	22	6762b825f62991f134ff56122a9ac3a0aac2833ac129dc0956fad2c63f7235d7	a4ebde91d2ad1830d77cc59f54a1e1b1d3a3461976a0e1766373839b43210f87
